Turns Up,Pressure Up,Turns Down,Pressure Down
0.03,6.11e-07,1.12,1.55e-05
0.07,6.01e-07,2.12,0.0124
0.12,5.92e-07,2.08,0.0134
0.17,5.86e-07,2.03,0.0136
0.22,5.81e-07,1.98,0.0131
0.27,5.79e-07,1.93,0.0124
0.32,5.8e-07,1.88,0.0115
0.37,5.83e-07,1.83,0.0106
0.42,5.91e-07,1.78,0.00976
0.47,6.04e-07,1.73,0.00902
0.52,6.22e-07,1.68,0.0084
0.57,6.49e-07,1.63,0.00789
0.62,6.87e-07,1.58,0.00742
0.67,7.42e-07,1.53,0.00698
0.72,8.2e-07,1.48,0.00642
0.77,9.28e-07,1.43,0.00571
0.82,1.12e-06,1.38,0.00467
0.82,1.34e-06,1.33,0.00346
0.82,1.46e-06,1.28,0.00243
0.82,1.52e-06,1.23,0.00171
0.82,1.55e-06,1.18,0.00122
0.82,1.56e-06,1.13,0.000866
0.82,1.56e-06,1.08,0.000599
0.82,1.55e-06,1.03,0.000401
0.87,1.64e-06,0.98,0.000254
0.92,2.02e-06,0.93,0.000153
0.97,2.79e-06,0.88,9.68e-05
1.02,4.27e-06,0.83,6.37e-05
1.07,7.45e-06,0.78,4.33e-05
1.12,1.55e-05,0.73,3.01e-05
1.12,1.55e-05,0.68,2.14e-05
,,0.63,1.56e-05
,,0.58,1.18e-05
,,0.53,9.2e-06
,,0.48,7.39e-06
,,0.43,6.09e-06
,,0.38,5.15e-06
,,0.33,4.45e-06
,,0.28,3.92e-06
,,0.23,3.51e-06
,,0.18,3.19e-06
,,0.13,2.93e-06
,,0.08,2.71e-06
,,0.03,2.53e-06
